Word,Meaning
A and B alike,A와 B 모두 마찬가지로
A as well as B,B뿐만 아니라 A도
A be followed by B,A 다음에 B가 오다
CEO(chief executive officer),최고 경영자
Celsius,섭씨
Department of Commerce,상무부
I have no idea.,잘 모르겠어요.
I'll bet,장담하건대
It is no wonder(that),~은 당연하다
My schedule doesn't permit it.,일정상 불가능하다.
Not that I'm aware of,내가 아는 한 아니다.
OJT(on-the-job training),"사내교육, 현장 직무 교육"
PIN(personal identification number),개인 식별 번호
a complete line of,~의 전 제품
a copy of,(책·서류) 한 부
a couple of,"두 개의, 몇 개의"
a glass of,~한 잔
a great deal,"다량, 상당량"
a great deal of,"다량의, 많은"
a large attendance,많은 참석자들
a letter of gratitude,감사편지
a loaf of,한 덩어리의
a number of,많은
a piece of equipment,장비 하나
a range of,일련의
a selection of,~의 모음
a sheet of,~한 장
a string of,"일련의, 한 줄의"
a variety of (= various),다양한
abandon,"그만두다, 버리다"
abate,"누그러지다, 약해지다, 감소하다"
ability,능력
aboard,"배로, 승선하여, ~에 타고"
abolish,(제도 및 법률 등을) 폐지하다
abridgment,"요약본, 요약"
abruptly,갑자기
absence,"부재, 결근, 결석"
absolute,"완전한, 완전무결한"
absolutely,"절대적으로, 완전히"
absorbing,흥미진진한
abstract,"추상적인, 막연한"
abundant,"풍부한, 많은"
abundantly,"풍부하게, 아주 분명한"
abuse,"남용, 남용하다"
accelerate,"촉진하다, 가속화하다"
accept,"수락하다, 승낙하다"
accept and award,상을 받다
accept the offer,제안을 수락하다
acceptable,"용인되는, 받아들일 수 있는, 훌륭한, 
만족스러운"
access,"이용 권한, 접근, 통로, ~에 접근하다, 도달하다"
access road,진입로
access to,~에의 접근
accessibility,접근가능성
accessible,"출입할 수 있는, 이용할 수 있는"
accidentally,"뜻하지 않게, 우연히"
acclaim,"호평, 찬사"
accommodate,"(건물 등이)~을 수용하다, 숙박시키다,
(조건·요구 등을) 만족시키다"
accommodation,"거처, 숙소, 시설"
accompany,"동행하다, 동반하다"
accomplish,성취하다
accomplished,"숙련된, 노련한"
accomplishment,"성과, 업적"
accordance,"일치, 조화"
according to,~에 따라
accordingly,"그에 알맞게, 따라서"
account,"계좌, 설명, 고려, (~의 이유를) 밝히다, 설명하다
(~의 비율을) 차지하다"
account payable,지급 계정
accountable,책임이 있는
accountant,회계사
accounting,회계
accredit,승인하다
accrue,"축적하다, 모으다"
accumulate,축적하다
accumulation,"축적, 누적"
accuracy,정확도
accurate,정확한
accurately,정확하게
accuse,"비난하다, 고소하다"
accustomed,익숙한
achievable,"성취할 수 있는, 달성할 수 있는"
achieve,"달성하다, 성취하다"
achieve one's goal,목표를 달성하다
achievement,"성취,달성"
achiever,크게 성공한 사람
acknowledge,"인정하다, (편지 등의) 수령을 알리다"
acquaint,"~에게 숙지시키다, 잘 알게 하다"
acquaintance,"아는 사람, 아는 사이"
acquire,"매입하다, 취득하다"
acquired,획득한
acquisition,"인수, 구입한 것"
across from,~에 바로 맞은편에
across the street,길을 가로질러
act,"법령, 행위, 행동,결정하다, 판결을 내리다, 행동하다"
acting,"대리의, 직무대행의, 연기"
activate,작동시키다
active,"적극적인, 활발한"
actually,"실제로, 사실은"
acute,(통증이) 심한
adapt,적응하다
adaptability,적응성
adaptable,적응할 수 있는
adapted,"적당한, 알맞은, 개조된"
add up to,합계가 ~이다
added benefits,부가적인 이점
addition,"추가, 추가물"
additional,"추가의, 부가적인"
additional charge,추가 요금
additional fee,추가비용
additionally,게다가
address,"주소, (어려운 문제 등을) 처리하다, 다루다"
address the audience,청중에게 연설하다
adept,능숙한
adequate,"충분한, 적절한"
adequately,적절히
adhere,"지키다, 고수하다"
adjacent,인접한
adjourn,(회의 등을) 휴회하다
adjournment,"연기, 휴회"
adjust,적응하다
adjust the mirror,거울을 똑바로 맞추다
administer,관리하다
administrative,"관리의, 행정상의"
admired,존경받는
admiringly,감탄하여
admission,입장
admission to,~로 입장
adopt,채택하다
advance,"진보, 전진"
advance reservation,사전 예약
advanced,"고급의, 진보한, 앞선"
advancement,"진보, 전진, 승진"
advantage,"이점, 강점"
adventure,모험
adverse,불리한
adversely,불리하게
adversity,"역경, 불운"
advertise,광고하다
advertisement,광고
advertising campaign,광고 캠페인
advice,"조언, 충고"
advisable,"바람직한, 합당한"
advise,"조언해 주다, 충고하다"
advise A of B,A에게 B를 알리다
advisor,"조언자, 고문"
advisory,자문의
advocate,옹호자
affair,"일, 사건"
affect,"~에 영향을 미치다, 불리하게 작용하다"
affiliation,합병
affirmative,"긍정하는, 동의하는"
affix,(우표 등을) 붙이다
afford to do,"~할 수 있다, ~할 여유가 있다"
affordability,감당할 수 있는 내용
affordable,"(가격이) 알맞은, 감당할 수 있는"
after all,결국
against all odds,모든 역경을 딛고
against the law,법에 위반되는
agency,"대행 회사, 대리점"
agenda,"의제, 의사일정"
agent,대리인
aggravate,악화시키다
aggression,공격성
aggressively,적극적으로
agile,기민한
aging,나이 들어가는
agree,동의하다
agreeable,"기꺼이 동의하는, 기분 좋은"
agreeably,"쾌적하게, 기분 좋게"
agreement,"계약,협정,합의"
agricultural,농업의
ahead of schedule,예정보다 일찍
aid,원조
ailing,"병든, 괴로워하는"
aim,"~을 겨누다, 목표, 목적"
aircraft,항공기
airfare,항공 요금
airport,공항
airsickness,비행기 멀미
aisle,(좌석 열·진열대 사이의) 통로
aisle seat,통로 쪽 좌석
alarming,"걱정스러운, 두려움"
alert,"경고하다, 주의하는"
all the way,"내내,멀리서"
all walks of life,모든 계층
all-out,총력을 다한
allegedly,주장하는 바에 따르면
allergic,"알레르기가 있는, 알레르기의"
alleviate,완화하다
alliance,"동맹, 제휴"
allocate,"할당하다, 배분하다"
allot,할당하다
allotment,"할당, 분배"
allow,"~하게하다, ~을 허락하다"
allowance,"허용치; 참작,특별한 고려"
alluring,유혹하는 
along the shore,해변을 따라
along with,~와 함께
alter,"(성질·형상을) 고치다, 바꾸다"
alteration,"변화, 개조"
alternative,"대안, 대체, 다른, 대신의"
alternatively,"그렇지 않으면, 그 대신에"
alumni,"동창생들, 졸업생들"
alumni association,동창회
amazed,놀란
ambiance(=ambience),(장소의) 분위기
ambitious,야심 있는
amend,수정하다
amenity,편의 시설
amount,"액수, 약"
ample,"충분한, 풍부한"
amply,"풍부하게, 충분히"
amuse,"재미있게 하다, 즐겁게 하다"
amusement park,놀이동산
analysis,분석
analyst,분석가
analyze,"분석하다, 분석적으로 검토하다"
ancient history,고대 역사
ankle sprain,발목 접질림
annex,"별관, 증축 건물"
anniversary,기념일
anniversary celebration,기념일 축하 행사
annotated,(책 등이) 주석이 달린
announce,발표하다
announcement,"공고, 발표"
annoy,짜증 나게 하다
annual,매년의
annual budget,연간 예산
annual meeting,연례 회의
annual report,연례 보고서
anonymous,"익명의, 이름을 모르는"
answer the phone,전화를 받다
antibiotic,항생제
anticipate,"예상하다, 기대하다"
anticipated(↔unanticipated),"기대하던, 대망의"
anticipation,"예상, 기대"
antique,골동품
anymore,"이제는, 더 이상은"
apologize,사과하다
apparatus,"장치, 기구"
apparel,"의복, 의류"
apparently,"보기에 ~한 듯한, 외관상으로는"
appeal,"관심을 끌다, 매력적이다"
appealing,"호소하는,매력적인"
appear,"나타나다, 출현하다"
appearance,"외관, 외모"
appetizer,"전채요리, 에피타이저"
applaud,"~에게 박수를 보내다, 칭찬하다"
appliance,전기 제품
applicant,"지원자,신청자"
application,"지원, 신청"
application form,신청서
apply,"적용하다, 지원하다"
apply for,~에 지원하다
appoint,"임명하다, 지명하다"
appointment,"약속, 임명"
appraisal,평가
appreciate,"고맙게 생각하다, 높이 평가하다, 감상하다"
appreciation,감사
appreciative,감사하는
apprehensive,"걱정하는,염려하는"
apprentice,"견습생, 도제"
approach,"접근법, 처리 방법, 다가오다, 가까워지다"
appropriate,"적당한, 적합한"
appropriately,적절하게
approval,"승인, 인가"
approve,"승인하다, 찬성하다"
approximately,대략
approximation,근사치
aptitude,"재능,소질"
arable,(땅이) 경작에 알맞은
arbitration,중재
architect,건축가
architecture,"건축물, 건축학"
archive,기록보관소
archway,아치길
area,"지역, 구역"
argument,"논의, 토론, 말다툼, 언쟁"
argumentative,"논쟁적인, 논쟁을 좋아하는"
arise,"(문제 등이) 발생하다, 일어나다"
arm in arm,"팔짱을 끼고, 제휴하여"
armchair,안락의자
around the corner,"길모퉁이에, 임박한, 매우 가까이에 있는"
around the world,전 세계에
arrange,"배열하다, 정돈하다"
arrange a conference,회의를 준비하다
arrange an appointment,약속을 잡다
arrange item on the self,선반에 상품을 배열하다
arrange the furniture,가구를 배치하다
arrangement,"준비, 마련, 주선"
array,"진열, 배열"
arrive,도착하다
art museum,미술관
article,"물품, 물건, 기사, 논설"
artifact,공예품
artificial,인공적인
artistic,예술적인
as a courtesy,"호의를 담아, 무료로"
as a result of,~의 결과로서
as if,마치 ~인 듯이
as it is,있는 그대로
as long as,~하는 한
as of now ,현재로서는
as opposed to,~과는 대조적으로
as requested,요청한 대로
as soon as possible,가능한 빨리
as well as,"~에 더하여, 게다가"
ascend,"오르다, 올라가다"
aside from,"~을 제외하고, ~에 더하여"
aspect,"관점, 국면"
aspiration,"포부, 열망"
aspire to,~을 갈망하다
assemble,"(부품·기계 등을)조립하다, (사람을)모으다"
assembly,"조립, 집회"
assent,"찬성하다, 승인, 동의"
assert,"단언하다, 주장하다"
assess,평가하다
assessment,평가
asset,자산
assign,"배정하다, 할당하다"
assignment,"일, 임무, 과제"
assimilate,~을 일치시키다
assist,"돕다, 조력하다"
associate,관련시키다
assorted,"여러 가지 종류의, 다채로운"
assume,"(증거는 없으나)사실이라고 생각하다,
(책임〮역할을) 맡다"
assumption,"추정, 산정"
assure,"~에게 보장하다, ~을 안심시키다, 장담하다"
asthma,천식
astonishingly,놀랍게도
astute,기민한
at a discounted price,할인가로
at a fast pace,빠른 속도로
at a rapid rate,빠른 속도로
at a stretch,계속해서
at a substantial discount,엄청난 할인가에
at a time,"한 번에, 동시에"
at all costs,"무슨 일이 있어도, 기어코"
at all times,"항상, 언제나"
at full speed,전속력으로
at large,대체로
at no charge(=at no cost),무료로
at no extra charge,추가 비용 없이
at once,"즉시,동시에"
at one's disposal,"~마음대로, ~뜻대로"
at one's request,~의 요청으로
at the discretion of,~의 재량으로
at the earliest,아무리 빨라도
at the last minute,막판에
at the latest,늦어도
at the moment,지금
at the same time,동시에
at this point,이 시점에서
athlete,운동선수
athletic skill,운동능력
atmosphere,"분위기, 환경"
atmospheric,"대기의, 분위기 있는"
atrium,중앙홀
attach,"붙이다, 접착하다, 첨부하다"
attack,공격하다
attain,(목표를) 달성하다
attainable,이룰 수 있는
attempt,"시도, 시도하다"
attend,"참석하다, 출석하다"
attend a conference,학술 발표회에 참석하다
attend to a client,고객을 상대하다
attendance,"출근, 출석"
attention,"주의, 경청"
attentive,"주의 깊은, 세심한"
attentively,"주의 깊게, 조심스럽게"
attire,"복장, 옷차림새"
attitude,"태도, 마음가짐"
attorney,변호사
attract,"끌다, 유인하다"
attraction,관광 명소
attribute,(원인을)~의 덕분으로 돌리다
auction,경매
audience,"청중, 관중"
audiovisual,시청각의
audit,"회계 감사, 심사"
audition,"심사, 오디션"
auditorium,강당
authentic,"진정한, 진짜의, 진품의"
author,"작가, 저자"
authority,"권한, 당국"
authorization,"권한 부여, 위임"
authorize,"~을 인가하다, 권한을 부여하다"
automate,자동화하다
automatic payment,자동 납부
automatically,자동적으로
automobile,자동차
automotive,자동차의
automotive repair shop,자동차 수리점
availability,"(입수)가능성, 유효성, 유용성"
available,"(사물이) 이용 가능한, (사람이) 시간이 있는"
average,"평균치, 평균"
aviation,비행
avoid,방지하다
await,기다리다
award,"상, (상 등을)수여하다"
award ceremony,시상식
aware,"알고 있는, 인식하고 있는"
away,떨어져서
awfully,"대단히, 정말"
awning,"(창・문 등의) 차양, 덮개"
back away from,"~에서 뒷걸음치다, 물러나다"
back injury,허리부상
back order,이월 주문
back up,"지지하다, 입증하다, (교통이)정체되다"
backpack,배낭
backseat,뒷자리
badly,"가까스로, 거의 ~하지 않는"
baggage,수화물
bakery,"빵집, 제과점"
balance,"잔고, 차감 잔액"
ban,"금지, 금지하다"
bank account,계좌
bank loan,은행 대출금
bank teller,은행출납원
banker,은행원
banking,"은행 업무, 은행업"
bankrupt,파산한
bankruptcy,파산
banquet,"연회, 만찬"
bare,벌거벗은; 텅 빈
bargain,"특가품, 흥정"
bargain over prices,가격을 흥정하다
barge,짐배
barrier,"장애, 장벽"
barring,~이 없다면
barter,"물물 교환하다, 물물 교환"
base,기반
based,~에 기반을 둔
basis,"기초, 근거, 원칙"
batch,"무리, 집단"
batter,반죽
bay,(바다·호수의)만
be absent from,~에 결석하다
be admitted to,~에 입장이 허용되다
be advised to do,~할 것을 권유받다
be affiliated with,~과 제휴하고 있다
be allowed to do,~하도록 허락받다
be amazed at,~에 놀라다
be anxious to do,몹시 ~하고 싶다
be arranged on the patio,테라스에 정돈되어 있다
be asked to do,~하도록 요청받다
be assigned to,~로 배정되다
be aware of,~을 알고 있다
be based on,~에 근거하다
be booked up,"예약이 차다, 매진되다"
be carried out,수행되다
be caught in,"~에 붙잡히다, ~에 걸리다"
be closed for the day,(영업시간이 끝나) 문을 닫다
be closed to the public,일반인 출입이 금지되다
be closed to traffic,왕래를 금하다
