0,1,2,3,4,5,6,7,8
DAY1,,,,,,,,
,,,,,,,,
1,resume,이력서,57.0,apply for,~에 지원하다,113.0,curriculum vitae,이력서
2,opening,"공석,결원;개장,개시",58.0,aptitude,"재능,소질",114.0,diploma,졸업 증서
3,applicant,"지원자,신청자",59.0,be admitted to,~에 입장이 허용되다,115.0,endurance,인내력
4,requirement,"필요조건,요건",60.0,be advised to do,~할 것을 권유받다,116.0,fluency,유창함
5,meet,(필요〮요구 등을 만족시키다),61.0,criteria,기준(criterion의 복수형),117.0,fluent in,~에 능숙한
6,qualified,"자격있는,적격의",62.0,decade,10년,118.0,go with,(계획·제의 등을)받아들이다
7,candidate,"후보자, 지원자",63.0,employ,고용하다,119.0,human resources,"인적 자원, 인사 관리"
8,confidence,"확신,자신;신임",64.0,insufficient,불충분한,120.0,improperly,부적절하게
9,highly,"매우,대단히",65.0,minimum,"최소한도, 최소한의",121.0,in a positive manner,긍정적으로
10,professional,"전문적인,직업의,전문가",66.0,party,"단체,당사자,연회",122.0,in the field of,~의 분야에서
11,interview,"면접,면접을 보다",67.0,plentiful,풍부한,123.0,inexperience,"무경험, 미숙"
12,hire,고용하다,68.0,profession,직업,124.0,lack confidence,자신감이 결여되다
13,training,"교육,훈련",69.0,achieve one's goal,목표를 달성하다,125.0,make A a regular habit,A하는 습관을 들이다
14,reference,"추천서,참고",70.0,apprentice,"견습생, 도제",126.0,make a commitment to,"~에 헌신하다, 전념하다"
15,position,"일자리,직책,두다",71.0,dress formally,정장을 입다,127.0,make a point of -ing,반드시 -하다
16,achievement,"성취,달성",72.0,dressed in suit,정장을 입은,128.0,manpower,인력
17,impressed,"인상 깊게 생각하는, 감명을 받은",73.0,figure out,~을 알아내다,129.0,master's degree,석사 학위
18,excellent,"훌륭한, 탁월한",74.0,full time work,정규직,130.0,novice,"풋내기, 무경험자"
19,eligible,"자격이 있는,적격의",75.0,job opportunity,취업 기회,131.0,paycheck,"급료, 급료 지불 수표"
20,identify,"알아보다, 확인하다",76.0,job search,구직,132.0,self-motivation,자기 동기부여
21,associate,관련시키다,77.0,job seeker,구직자,133.0,send a notification,통지서를 보내다
22,condition,조건,78.0,lay out,"펼치다, 늘어놓다",134.0,vacancy,"공석, 결원"
