No,Word,Meaning
137,succession,연속
138,takeover,인수
139,established,"확고한, 정평이 있는"
140,shrink,"줄어들다, 오그라들다"
141,neutral,중립적인
142,front-runner,가장 유력한 우승 후보
143,exemplify,"예증하다, ~의 좋은 예가 되다"
144,squeaky,삐걱대는
145,be oriented to,~에 중점을 두다
146,take a turn for the better,호전되다
147,lucid,명쾌한
148,beware,조심하다
149,stance,"태도, 입장"
150,clout,영향력
151,momentarily,잠깐
152,make the first move,"개시하다, 발단을 만들다"
153,latent,잠재된; 잠복성의
154,retreat,"후퇴하다, 물러가다"
155,warm-up,준비 운동; 예행연습
156,roll out,(신상품을) 출시하다
157,interfere with,~을 방해하다
158,be contingent upon,"~에 따라 결정되다, ~에 달려 있다"
159,keep on top of,~의 선두를 유지하다
160,narrative,"(소설 속 사건들에 대한) 기술, 묘사"
161,favorable,호의적인
162,subsidize,~에 보조금을 지급하다
163,succumb to,"~에 굴복하다, ~에 지다"
164,makeshift,임시방편의
165,liquidate,"(회사를) 정리하다, 해산하다"
166,allegedly,주장하는 바에 따르면
167,craftsmanship,솜씨
168,exert pressure on,~에 압력을 행사하다
