 No           Word               Meaning
  1        appoint            임명하다, 지명하다
  2      appraisal                    평가
  3        promote           승진시키다, 촉진하다
  4        skilled              숙련된, 노련한
  5      radically              완전히, 철저히
  6    exceptional             뛰어난, 예외적인
  7   appreciation                    감사
  8       evaluate                  평가하다
  9        suggest            제안하다, 추천하다
 10     preference                    선호
 11     management               경영진, 경영
 12        predict                  예측하다
 13       transfer            보내다, 전근시키다
 14          award         상, (상 등을)수여하다
 15      mandatory                  의무적인
 16      competent              유능한, 능숙한
 17    performance    실적, 성과, 공연, 연주, 연기
 18         reward ~에 보답하다, 보상하다, 보상, 포상
 19         search            찾기, 수색, 조사
 20  inexperienced            경험 없는, 미숙한
 21          early           시간상 이른, 조기의
 22      designate            지명하다, 지정하다
 23      executive              경영의, 관리의
 24     dedication                    헌신
 25    unanimously                 만장일치로
 26       progress            진행, 진척, 진전
 27   congratulate                  축하하다
 28        dismiss            해임하다, 해고하다
 29   independence                   독립성
 30  participation            참여, 참가, 가입
 31         praise                    칭찬
 32 accomplishment                성과, 업적
 33   deliberation                토의, 심의
 34     leadership              리더십, 지도력
 35         retire            퇴직하다, 은퇴하다
 36     nomination                임명, 지명
 37     reorganize          재편성하다, 재조직하다
 38          serve             일하다, 근무하다
 39  encouragement                    격려
 40    resignation           사임, 사직, 사직서
