 No                    Word         Meaning
 41                strictly             엄격히
 42        accept and award           상을 받다
 43 anniversary celebration       기념일 축하 행사
 44                    fire            해고하다
 45                   flash         번쩍임, 섬광
 46           go downstairs      아래층으로 내려가다
 47              greenhouse              온실
 48               gymnasium             체육관
 49               job title              직함
 50                    knob             손잡이
 51                  ladder             사다리
 52                 lengthy      (시간이)긴, 오랜
 53             move around           돌아다니다
 54                    plan     계획, 계획을 세우다
 55                point at         ~을 가리키다
 56                   scale          규모, 저울
 57                 scatter            흩뿌리다
 58                send out            배부하다
 59                    yell            소리치다
 60             appointment          약속, 임명
 61          characteristic          특징, 특성
 62                 helping 도움의, (음식물) 한 그릇
 63                 hopeful     희망에 찬 ,기대하는
 64                   level    (사회적) 지위, 수준
 65                  resign      사직하다, 물러나다
 66                    role              역할
 67               safeguard     예방 수단, 안전장치
 68      throughout the day           하루 종일
