 No                     Word              Meaning
 69                     view         견해, ~이라고 여기다
 70               arm in arm         팔짱을 끼고, 제휴하여
 71     experienced employee            경력이 있는 직원
 72           face away from        ~으로부터 고개를 돌리다
 73              fill in for ~를 대신하다, ~의 일을 대신봐주다
 74          get a promotion                 승진하다
 75        give A an advance            A에게 가불해주다
 76                    kneel               무릎을 꿇다
 77     language acquisition                 언어습득
 78       move over one seat          자리를 한 칸 옮기다
 79                  move up                 승진하다
 80            newly arrived               새로 부임한
 81      obviously qualified           명백히 자격을 갖춘
 82                 pavilion                  전시관
 83     personnel management                 인사관리
 84                     rear                    뒤
 85        regional director                  지사장
 86               reposition           ~의 위치를 바꾸다
 87                  retiree                  퇴직자
 88               retirement               은퇴, 퇴직
 89         senior executive                 고위간부
 90                spare key               여분의 열쇠
 91    take early retirement              조기 퇴직하다
 92                take note                 주목하다
 93         take one's place          ~의 자리를 차지하다
 94                take over                 인수하다
 95                 achiever            크게 성공한 사람
 96                  admired                 존경받는
 97           as a result of              ~의 결과로서
 98                    elect                 선출하다
 99              incompetent                  무능한
100            knowledgeable             아는 것이 많은
101                   namely             즉, 다시 말해
102                   nearby                  인근의
103                 nominate           지명하다, 추천하다
104                promotion                   승진
105               put in for              ~을 신청하다
106            recommendable             추천할 수 있는
107                specially                  특별히
108             stand in for   ~의 대리를 맡다, ~를 대신하다
109                    state             상태, 진술하다
110               tech-savvy          최신 기술을 잘 아는
111              undoubtedly      의심할 여지 없이, 틀림없이
112                aspire to              ~을 갈망하다
113                dismissal                   해고
114                  empower         ~에게 권한을 부여하다
115               go forward             앞으로 나아가다
116                 heighten                  높이다
117                immigrant                  이주자
118               initiative              계획, 진취성
119         inter department                 부서간의
120              job cutback                 인력감축
121                  lay off                 해고하다
122     named representative              지명된 대표자
123          new appointment           새로 임명함, 신임
124           official title                공식 직함
125 on the recommendation of              ~의 추천으로
126                  pass up   (기회 등을) 거절하다, 포기하다
127                   preach           설교하다, 충고하다
128              predecessor                  전임자
129               provincial                  지방의
130                push back                 연기하다
131                   ritual    (정규)행사, 반드시 지키는 일
132                  run for             ~에 입후보하다
133                    speck                작은 얼룩
134              supervisory             감독의, 관리의
135                turn away                  내쫓다
136            underestimate               과소평가하다
