 No               Word           Meaning
137       understaffed             인원부족의
138     in one’s grasp            ~의 수중에
139             gratis               무료로
140             intent            의지, 목적
141              shred           갈기갈기 찢다
142           delicate  민감한, 세심한 주의가 필요한
143             scheme                계획
144              scuff             마모시키다
145          immensity       광대함, 엄청난 크기
146          underpass               지하도
147      miscellaneous               다양한
148          perpetual         끊임없이 계속되는
149          lingering      오래 끄는, 오래 가는
150           tolerant        관대한, 아량 있는
151             demote            강등 시키다
152             plunge              떨어지다
153          disorient          혼란스럽게 하다
154          reinstate             복직시키다
155            degrade (품위·지위 등을) 떨어 뜨리다
156          cordially       진심으로, 성심성의껏
157    lose oneself in           ~에 몰두하다
158             salute        경례하다, 인사하다
159             upbeat              낙관적인
160     in defiance of           ~에 반항하여
161             forage             찾아다니다
162             deploy              배치하다
163             hurdle        곤란한 문제, 장애
164          dignitary             고위 인사
165        designation            지정, 지명
166          incumbent               현직의
167 extraordinary feat           놀랄만한 업적
168       irreversible          되돌릴 수 없는
