 No           Word      Meaning
 41       bus stop       버스 정류장
 42    busy street       붐비는 거리
 43            cab           택시
 44     car rental       자동차 대여
 45      crosswalk         횡단보도
 46   free parking        무료 주차
 47    gas station          주유소
 48        get off    떠나다, 출발하다
 49           hang      걸다, 걸리다
 50  heavy traffic        교통 혼잡
 51        highway         고속도로
 52        on foot     걸어서, 도보로
 53           park         주차하다
 54           path          통행로
 55 subway station         지하철역
 56       tour bus         관광버스
 57  traffic light     교통 신호(등)
 58           wall            벽
 59   wash the car         세차하다
 60          wheel           바퀴
 61      access to       ~에의 접근
 62           cite         언급하다
 63           hood (자동차의)보닛, 덮개
 64         inside   ~의 안에, 이내에
 65          route           노선
 66          sharp     뾰족한, 예리한
 67          solve         해결하다
 68          stand           서다
