 No                   Word            Meaning
 41               mortgage            (담보) 대출
 42                payable            지불해야 하는
 43               personal                개인의
 44               practice 관행, 관례, 연습하다, 실습하다
 45        at the earliest            아무리 빨라도
 46       at the same time                동시에
 47          at this point             이 시점에서
 48               audition            심사, 오디션
 49      automatic payment              자동 납부
 50                 banker                은행원
 51                banking         은행 업무, 은행업
 52        be used to -ing            ~에 익숙하다
 53 by the end of the year               연말까지
 54           by this time                지금쯤
 55                  clerk             사원, 점원
 56                   cozy                아늑한
 57     credit card number           신용 카드 번호
 58                  float            (물에) 뜨다
 59       for a short time              잠깐 동안
 60                gesture                 몸짓
 61                next to                ~옆에
 62               password               비밀번호
 63                   coin                 동전
 64           evening news              저녁 뉴스
 65             generously               관대하게
 66            in addition                게다가
 67         in addition to             ~에 더하여
 68               in short                요컨대
