 No                                Word               Meaning
 69                            thankful        고맙게 생각하는, 감사하는
 70                         unnecessary                  불필요한
 71                              useful                   유용한
 72                             awfully               대단히, 정말
 73                           bank loan                은행 대출금
 74                         bank teller                 은행출납원
 75                        be amazed at                ~에 놀라다
 76                        be caught in       ~에 붙잡히다, ~에 걸리다
 77                       be spread out                펼쳐져 있다
 78                     every other day          격일로, 이틀에 한 번
 79                              flawed                결함이 있는
 80                    foreign currency                    외화
 81                           gaze into            ~을 뚫어지게 보다
 82                          get a loan                대출을 받다
 83                            give out                  나눠주다
 84                           glance at               ~을 힐끗보다
 85                       go wrong with               ~이 잘못되다
 86                            hang out               시간을 보내다
 87                         have around            ~을 가지고 다니다
 88                         if possible                 가능하다면
 89                       if you insist              굳이 원하신다면
 90                            I'll bet                 장담하건대
 91                             locally                 장소상으로
 92                             pay off       빚을 다 갚다, 이익이 되다
 93                             perhaps               아마, 어쩌면
 94                              put in            예금하다, 투자하다
 95                             savings                    저축
 96                  short-term deposit                  단기예금
 97                   the following day                 그 다음날
 98          until the first next month              다음달 1일까지
 99                         across from            ~에 바로 맞은편에
100                            alarming            걱정스러운, 두려움
101                             anymore            이제는, 더 이상은
102                           at a time             한 번에, 동시에
103                              indeed                실로, 정말
104                           otherwise   다르게, 달리, 만약 그렇지 않으면
105                            owing to                ~로 인하여
106                             partial            부분적인, 편파적인
107                             pay out             지불하다, 치르다
108                           receptive                  수용하다
109                            simplify                 간소화하다
110                             someday             언젠가, 머지않다
111                           turn down                  거절하다
112                             twofold 두 배로, 이중으로, 두 배의, 이중의
113                     account payable                 지급 계정
114                        bank account                    계좌
115                  be highly regarded               높이 평가되다
116        be of particular interest to      ~가 특별히 관심을 가질만하다
117                 billing information                청구서 정보
118                              credit                    신용
119                            creditor                   채권자
120                            currency                    통화
121                          debit card             (은행) 직불카드
122                                debt                     빚
123                     expiration date                   만기일
124                   financial history                신용거래실적
125                     for the sake of                ~을 위하여
126                               forge                  위조하다
127                             forgery                  위조하다
128                         forthcoming                  다가오는
129                             midtown  (도심지와 시 외곽 사이의) 중간지대
130                                 owe                빚지고 있다
131                           paid with      (특정한 결제수단으로) 지불된
132 PIN(personal identification number)              개인 식별 번호
133                              pop up               불쑥 나타나다
134                      public holiday                   공휴일
135                           reluctant            마음이 내키지 않는
136                         requisition               요구, 요구서
