 No                          Word             Meaning
137                    scrutinize            세밀히 조사하다
138                       sustain                지속하다
139                 wire money to            ~에게 송금하다
140                 wire transfer               전신 송금
141                  draw a check            수표를 발행하다
142                direct deposit            은행 자동 이체
143                         remit        송금하다, 면제해 주다
144                    collateral             담보, 저당물
145                       secured                 보증된
146                    confiscate          압수하다, 몰수하다
147                   counterfeit             가짜, 모조품
148                 trust company        신탁 회사, 신탁 은행
149 credit money to one's account      ~의 계좌에 돈을 입금하다
150                    on standby               대기 중인
151                     deterrent         제지하는 것, 방해물
152                        bounce (수표 등이) 부도가 나 되돌아오다
153                     fortnight                 2주간
154                     contender            도전자, 경쟁자
155                     overdrawn             잔액이 부족한
156                  deposit slip               예금 전표
157               take out a loan              융자를 받다
158                      credible       신용할 수 있는, 확실한
159                     belatedly                 뒤늦게
160                      spurious            허위의, 잘못된
161             make a withdrawal             돈을 인출하다
162                    redemption              구원, 구함
163                         crash            (주가의) 폭락
164         take out insurance on           ~에 보험을 들다
165                          curb                억제하다
166                    be held up           잡히다; 지연되다
167                       cluster                  무리
168                        accrue           축적하다, 모으다
