 No          Word                                       Meaning
  1    investment                                       투자, 투자금
  2     lucrative                               수익성 있는, 돈벌이가 되는
  3    inherently                                         본질적으로
  4        secure                   확보하다, 얻어내다, 안전하게 지키다, 고정시키다
  5   foreseeable                                      예견할 수 있는
  6        innate                                           타고난
  7      property                                            재산
  8  on behalf of                                       ~을 대신해서
  9         lease                                       임대차(계약)
 10       sponsor                                     후원하다, 후원자
 11       propose                                          제안하다
 12       support 후원, 원조, 지지, 지원하다, 후원하다, 살게하다,\n(생명·기력 등을)유지하다
 13  distribution                                        분배, 배급
 14      consider                                          고려하다
 15        nearly                                        거의, 대략
 16       consent                                        동의, 허락
 17     gratitude                                       고마움, 감사
 18       consult                                    상의하다, 상담하다
 19        advice                                        조언, 충고
 20     partially                                   부분적으로, 일부분은
 21       evident                                      분명한, 명백한
 22   reliability                                     신뢰도, 믿음직함
 23      cautious                                     조심하는, 신중한
 24       insight                                       식견, 통찰력
 25     portfolio                               포트폴리오, 투자 자산 구성
 26      possible                                    가능한, 있음 직한
 27   speculation                                            추측
 28        solely                                          전적으로
 29  entrepreneur                                           사업가
 30    eventually                                       결국, 마침내
 31   shareholder                                            주주
 32       outlook                                            전망
 33     stability                                       안정, 안정성
 34          bond                                            채권
 35  depreciation                             가치 하락, 화폐의 구매력 저하
 36    increasing                                          증가하는
 37     prevalent                                유행하고 있는, 널리 퍼진
 38         rapid                                       빠른, 신속한
 39 unprecedented                                         전례 없는
 40         yield                              (이윤을) 가져오다, 산출하다
