 No                             Word            Meaning
 69                at one's disposal        ~마음대로, ~뜻대로
 70               be reluctant to do           ~하기를 꺼리다
 71                believe it or not            믿거나 말거나
 72                     blame A on B      A를 B의 탓으로 돌리다
 73           call on urgent meeting        비상 회의를 소집하다
 74         call for some assistance            도움을 청하다
 75                    circumstances             상황, 환경
 76                          cutback                 삭감
 77             emergency evacuation               비상대피
 78                          festive                축제의
 79                        frustrate              좌절시키다
 80                       get rid of            ~을 제거하다
 81                    give it a try               시도하다
 82                have reason to do          ~할 이유가 있다
 83                        hazardous                위험한
 84                       in private               비밀리에
 85             in the distance past             훨씬 이전에
 86                           intake           (음식의) 섭취
 87                            leaky         (액체 등이) 세는
 88                         look for              ~을 찾다
 89                organize a picnic           소풍을 준비하다
 90                     pair up with           ~와 짝이 되다
 91                       reflection   (거울 등에 비친) 상, 반영
 92                      self-esteem                자부심
 93                         show off               과시하다
 94                     sponsored by          ~의 후원을 받은
 95                     stock market               주식시장
 96                       supporting         지지하는, 후원하는
 97                             tear                 찢다
 98                  unconditionally             무조건적으로
 99                       abundantly       풍부하게, 아주 분명한
100                     additionally                게다가
101                        ambitious              야심 있는
102                       cautiously              조심스럽게
103                      considerate        사려 깊은, 배려하는
104                     consultation             상담, 협의
105                      effectively              효과적으로
106                          favored          호의를 사고 있는
107                      impractical       비현실적인, 비실용적인
108                         improper          부당한, 부도덕한
109                         insecure       불안한, 확신이 안가는
110                       insecurely               불안하여
111                          justify              정당화하다
112                          reduced           축소한, 감소한
113                       reluctance             마지못해 함
114                         reviewer           논평가, 비평가
115                    take pride in            ~을 자랑하다
116                         threaten    위협하다, ~할 우려가 있다
117                          venture 모험, (위험을 무릎 쓰고) 가다
118 branch office(=satellite office)             지점, 지사
119                        confusion                 혼란
120                      controversy                 논란
121                    cost analysis               비용분석
122                          faintly               희미하게
123                            input                 투입
124                         investor                투자가
125                           legacy             유산, 유물
126                meet the expenses             경비를 대다
127               on a regular basis              정기적으로
128             on one's own account   혼자서, 자신의 이익을 위해서
129                          pioneer           개척자, 선구자
130                        projected                예상된
131                        reexamine              재검사하다
132                       repetitive               반복적인
133                set up a business           사업을 시작하다
134                         strength              힘, 장점
135                 take precautions               조심하다
136           throw out(=throw away)                버리다
