 No             Word        Meaning
 41         armchair           안락의자
 42          ceiling             천장
 43          cleanup            대청소
 44       decoration        장식, 장식물
 45            fence            울타리
 46            floor             바닥
 47            frame          틀, 액자
 48        furniture             가구
 49           garage             차고
 50   heating system         난방 시스템
 51            lobby             로비
 52       remodeling          주택 개조
 53          rooftop         지붕, 옥상
 54             rope         밧줄, 로프
 55            stick       막대기, 지팡이
 56             tank   (물·가스 등의) 탱크
 57          veranda            베란다
 58          desktop 탁상용의, 데스크톱 컴퓨터
 59            dwell           거주하다
 60        fireplace          (벽)난로
 61             heat    열기, 뜨겁게 만들다
 62         homemade         집에서 만든
 63        homeowner         주택 소유자
 64          inhabit           거주하다
 65          lighten          밝게 하다
 66         neighbor             이웃
 67 unban(<-> rural)            도시의
 68  washing machine            세탁기
