 No              Word            Meaning
137             screw                 나사
138            locale   현장,(소설·영화 등의) 무대
139             drain               배수하다
140          landlord                집주인
141             porch                 현관
142        shockproof         충격에 견디게 만든
143          premises      구내, 토지가 딸린 건물
144           archway                아치길
145           startle          깜짝 놀라게 하다
146        insulation                단열재
147             annex          별관, 증축 건물
148       uninhabited          사람이 살지 않는
149           complex    (건물 등의) 집합체, 단지
150     symmetrically              대칭적으로
151          woodwork      (가옥 등의) 목조 부분
152       scaffolding   (건축 공사장의) 비계, 발판
153             ledge   선반, 절벽에서 튀어나온 바위
154 dig with a shovel          삽으로 땅을 파다
155               saw                  톱
156              rack                 선반
157         for lease           (집을) 내놓은
158        demolition             파괴, 폭파
159    constructively              건설적으로
160             hedge             울타리, 담
161   reconfiguration              구조 변경
162           plumber                배관공
163     be mounted on ~에 설치되어 있다,고정되어 있다
164         tear down           (건물을) 헐다
165       run the tap           수도꼭지를 틀다
166       maintenance                 유지
167          demolish               파괴하다
