 No                                Word             Meaning
 69                              source                  원천
 70                            southern                 남쪽의
 71                         temperature                  온도
 72                     along the shore              해변을 따라
 73                                 bay           (바다·호수의)만
 74                       body of water                 물줄기
 75                                bush                  관목
 76                               cliff                  절벽
 77                         countryside              시골, 지방
 78 eco-friendly(=environment friendly)             환경 친화적인
 79                            footpath             보도, 오솔길
 80                            fountain                  분수
 81                            freezing               몹시 추운
 82                      gardening tool                원예도구
 83                               grasp          꽉 잡다, 움켜잡다
 84                                hail                  우박
 85                           lakefront                 호숫가
 86                         landscaping                  조경
 87                          lighthouse                  등대
 88                           nightfall                 해질녘
 89                       off the shore                 해안에
 90                  overlook the water            호수를 굽어보다
 91                          pull weeds              잡초를 뽑다
 92                         rain forest               열대 우림
 93                       rain or shine 날씨에 상관없이, 어떤 일이 있어도
 94                         rain shower                 소나기
 95                           rainstorm                 폭풍우
 96                              ranger               공원관리인
 97                           riverbank                  강둑
 98                           riverside                  강변
 99                             scenery                  풍경
100                              scenic                 경치의
101                               slope            비탈, 경사지다
102                              stream            시냇물, 흐르다
103                              suburb                  교외
104                    sweep the leaves              낙엽을 쓸다
105                        thunderstorm                  뇌우
106                               trail               길, 자취
107                                trap       가두다, 함정에 빠뜨리다
108                          tree trunk               나무 줄기
109                            twilight                 해질녘
110                    weather forecast               일기 예보
111                      weather report                일기예보
112                           windstorm                  폭풍
113                         affirmative          긍정하는, 동의하는
114                             dislike                싫어하다
115                             fertile            비옥한, 기름진
116                       in particular                  특히
117                             quietly                 조용히
118                             revolve       회전하다, 초점을 맞추다
119                             setting              환경, 장소
120                               sheer             순전한, 얇은
121                               solid                 단단한
122                            tangible     만져서 알 수 있는, 명백한
123                        thoughtfully              생각이 깊게
124                         atmospheric         대기의, 분위기 있는
125                        conservation                  보존
126           environmental regulations               환경 규제
127                              ground              지면, 근거
128                           inclement       (날씨가) 궂은, 혹독한
129                              mining              채굴, 채광
130                     natural habitat              자연 서식지
131             noise and air pollution         소음공해와 대기 오염
132                         nourishment                 영양분
133                             nurture           양육하다, 기르다
134                            overflow           범람하다, 넘치다
135                            react to             ~에 반응하다
136                          recyclable            재활용이 가능한
