 No               Word      Meaning
137 under construction         공사중인
138              vague     모호한, 애매한
139        water level       수위(水位)
140             drench    흠뻑 물에 적시다
141            grazing      방목; 목초지
142      fuel emission        연료 배기
143        tranquility           평온
144         toxication           중독
145           splendor          장엄함
146           downpour           호우
147            pull up  뽑다; (차가) 서다
148        vacant site           공터
149             sewage           하수
150             potted       화분에 심은
151          botanical          식물의
152         promptness      재빠름, 신속
153            logging           벌목
154        sustainable       지속 가능한
155           trimming       정돈; 장식
156           overpass           육교
157             timber           목재
158             rugged        울퉁불퉁한
159          outwardly  겉으로는, 표면상으로
160          outskirts      교외, 변두리
161        terrestrial         지구상의
162               fade   바래다, 희미해지다
163           disposal       처분, 폐기
164              fumes       가스, 연기
165             revert (본래대로) 되돌아가다
166          depletion   (자원 등의) 고갈
167  irrigation system        관개 시설
168            residue          잔여물
