 No           Word                        Meaning
  1        fatigue                             피로
  2        checkup                          건강 진단
  3        symptom                             증상
  4      physician                          내과 의사
  5      diagnosis                             진단
  6      prescribe                      (약을) 처방하다
  7       recovery                         회복, 쾌유
  8      recognize                     인정하다, 알아보다
  9           join                        ~에 가입하다
 10  comprehensive                     종합적인, 포괄적인
 11    participate                     참여하다, 참가하다
 12      recommend                     권고하다, 추천하다
 13      necessary                            필요한
 14        ability                             능력
 15      operation                             수술
 16    cleanliness                             청결
 17       duration                      지속 기간, 지속
 18    examination                         진찰, 검사
 19      eliminate                           제거하다
 20         easily                             쉽게
 21         dental                            치과의
 22        dietary                   식이 요법의, 규정식의
 23        related                            관련된
 24       transmit                          전염시키다
 25   periodically                          주기적으로
 26       reaction                             반응
 27         simple                            단순한
 28       coverage (보험의) 보상 범위, (신문 등의) 보도, 취재 범위
 29       exposure                             노출
 30 pharmaceutical                       제약의, 약학의
 31        premium                            보험료
 32        relieve                          완화시키다
 33    combination                         결합, 연합
 34      conscious                 알고 있는, 자각하고 있는
 35    deprivation                         박탈, 상실
 36         health            건강, (사회·기관의) 번영, 안녕
 37         induce                           유발하다
 38      insurance                             보험
 39      nutrition                             영양
 40     prevention                             예방
