 No                 Word           Meaning
 69           well-being           (건강과)행복
 70                aging           나이 들어가는
 71         ankle sprain            발목 접질림
 72          back injury              허리부상
 73 be on a special diet      특수 식이 요법 중이다
 74       blood pressure                혈압
 75         blood supply             혈액 공급
 76              buzzing  윙윙 소리를 내는, 와글거리는
 77 doctor's appointment             진료 예약
 78       emergency room               응급실
 79    get some exercise              운동하다
 80        heart ailment               심장병
 81         heart attack              심장마비
 82        heart disease              심장질환
 83            injection                주사
 84             insomnia               불면증
 85            lean back            뒤로 기대다
 86          lose weight            살이 빠지다
 87       maternity ward           산부인과 병동
 88     patient's record         환자의 의료 기록
 89 physical examination              신체검사
 90     physical therapy             물리 치료
 91               resist     참다, 견디다, 저항하다
 92               sneeze            재채기 하다
 93  surgical instrument              수술도구
 94               tablet                알약
 95          take effect          효과가 나타나다
 96      take medication           약을 복용하다
 97   take some medicine             약을 먹다
 98             terminal          말기의, 불치의
 99          vaccination         백신, 예방 접종
100           watch over         보호하다, 지키다
101         consequently         그 결과, 따라서
102              harmful          해로운, 유해한
103             maximize             극대화하다
104            medicinal      약용의, 치유력이 있는
105            patiently     끈기 있게, 참을성 있게
106              recover        (건강이) 회복되다
107             resemble ~을 닮다, ~과 공통점이 있다
108           ultimately           마침내, 결국
109             urgently                급히
110            visualize             시각화하다
111           antibiotic               항생제
112               asthma                천식
113       athletic skill              운동능력
114              chronic               만성의
115           contagious              전염성의
116             diabetes               당뇨병
117                donor               기증자
118               dosage           1회분 복용량
119                 dose       (약의) 1회 복용량
120            eradicate        근절하다, 뿌리뽑다
121               exhale            숨을 내쉬다
122            first aid              응급처치
123       food poisoning               식중독
124               forbid              금지하다
125     genetic research            유전학 연구
126                 germ                세균
127               hiccup               딸꾹질
128              hygiene                위생
129               immune               면역의
130            infection                감염
131   infectious disease               전염병
132               inhale          숨을 들이마시다
133             overdose              과다복용
134           painkiller               진통제
135            paralysis                마비
136                pulse                맥박
